ID,Question,True Answer,Predicted Answer,Correct,Strategy,Question Type,Match Type,Cost,Tokens Used
4fb8ac920bd911eba7f7acde48001122,Where was the place of death of Marie Thérèse Of France (1667–1672)'s father?,Palace of Versailles,"Versailles, France",False,direct,compositional,no_match,0.0021439999999999996,1423
392148960bb011ebab90acde48001122,Who is the paternal grandmother of Przemysław Potocki?,Ludwika Lubomirska,Princess Ludwika Lubomirska,True,direct,inference,contains,0.001217,800
fb87d8ea08e811ebbda6ac1f6bf848b6,"Who lived longer, Herbert Findeisen or Léonie Humbert-Vignot?",Léonie Humbert-Vignot,Herbert Findeisen,False,direct,comparison,no_match,0.001086,702
c449c9da088511ebbd6dac1f6bf848b6,"Which film has the director born first, Sensation In Savoy or Devasuram?",Sensation In Savoy,Sensation in Savoy,True,direct,bridge_comparison,exact,0.001538,1001
ff9efaee085511ebbd59ac1f6bf848b6,"Which film has the director died later, Traición or Millipilleri?",Millipilleri,Millipilleri,True,direct,bridge_comparison,exact,0.002192,1426
b473c23c088611ebbd6dac1f6bf848b6,"Do the movies Tantric Tourists and Emotional Arithmetic, originate from the same country?",no,Canada,False,direct,comparison,no_match,0.0010585000000000002,699
2bb113d4087d11ebbd6aac1f6bf848b6,"Which film has the director who was born later, Brothers' Nest or The Young And The Guilty?",Brothers' Nest,Brothers' Nest,True,direct,bridge_comparison,exact,0.001427,930
c05167a308cb11ebbd93ac1f6bf848b6,Did Shana Mahaffey and André Egli have the same nationality?,no,No,True,direct,comparison,exact,0.001374,906
612e46fe08a411ebbd7cac1f6bf848b6,"Are the movies El Camino De San Diego and Vamps (Film), from the same country?",no,No,True,direct,comparison,exact,0.001026,667
543c70de085f11ebbd5cac1f6bf848b6,Were Samuel Hanson Stone and Will James (artist) from the same country?,no,Yes,False,direct,comparison,no_match,0.0013405,885
3e6813c2085211ebbd58ac1f6bf848b6,"Which film has the director who is older, The Magnificent Rogue or Amar Shakti?",The Magnificent Rogue,The Magnificent Rogue,True,direct,bridge_comparison,exact,0.001281,829
903c26ce087111ebbd63ac1f6bf848b6,"Which film has the director who was born first, Sangre De Mayo or Hell Boats?",Hell Boats,Hell Boats,True,direct,bridge_comparison,exact,0.00121,786
688dabb40bd911eba7f7acde48001122,What is the place of birth of the performer of song Once I Loved?,Hoboken,Brazil,False,direct,compositional,no_match,0.003481,2314
6b2a4d760bdb11eba7f7acde48001122,When did Ji Shengde's father die?,"February 10, 2000","February 10, 2000",True,direct,compositional,exact,0.0014405,949
a9a0b061099011ebbdb0ac1f6bf848b6,"Are both Bayfield, Wisconsin and Drmeni located in the same country?",no,Yes,False,direct,comparison,no_match,0.001108,731
c6419d2c087a11ebbd67ac1f6bf848b6,"Which film has the director who died later, I Am A Camera (Film) or Among Vultures?",Among Vultures,Among Vultures,True,direct,bridge_comparison,exact,0.001352,890
13dc98b80bda11eba7f7acde48001122,What nationality is the director of film Fag Hag (Film)?,American,American,True,direct,compositional,exact,0.0008849999999999999,585
a06cf618088011ebbd6cac1f6bf848b6,"Which film has the director who was born earlier, Joyless Street or Vaettiya Madichu Kattu?",Joyless Street,Joyless Street,True,direct,bridge_comparison,exact,0.001505,977
a1baa1ca088d11ebbd70ac1f6bf848b6,"Which film has the director born first, Best Of Enemies (2015 Film) or The Rhineland Girl?",The Rhineland Girl,The Rhineland Girl,True,direct,bridge_comparison,exact,0.0013805,895
d12cf55c0bda11eba7f7acde48001122,Which country the composer of song The Autumn Waltz is from?,American,United States,False,direct,compositional,no_match,0.001228,810
a0c5a73108b311ebbd86ac1f6bf848b6,"Did the movies We Stick Together Through Thick and Thin and Total Badass, originate from the same co...",no,No,True,direct,comparison,exact,0.0011425,742
7f3a4ebe0baf11ebab90acde48001122,Who is the maternal grandfather of Gaius Antonius (Brother Of Mark Antony)?,Lucius Julius Caesar,Abd al-Muttalib,False,direct,inference,no_match,0.0010685,701
02e1a5ce0bdc11eba7f7acde48001122,When did the director of film Society Girl (1932 Film) die?,"June 20, 1972","June 20, 1972",True,direct,compositional,exact,0.0016795,1107
f78a0f9c08af11ebbd84ac1f6bf848b6,Did Franco Rossetti and Babette De Leede have the same nationality?,no,Yes,False,direct,comparison,no_match,0.002262,1498
5ed0bc4a097b11ebbdb0ac1f6bf848b6,"Which film was released first, Ganga Maiyya Tohe Piyari Chadhaibo or Olavina Udugore?",Ganga Maiyya Tohe Piyari Chadhaibo,Ganga Maiyya Tohe Piyari Chadhaibo,True,direct,comparison,exact,0.0015935,1037
aa85c38e0bda11eba7f7acde48001122,When is Julian Farino's wife's birthday?,20 January 1970,20th January 1970,True,direct,compositional,word_overlap,0.00196,1295
1ad3044208c211ebbd8bac1f6bf848b6,"Which film has the director born first, The Broken Coin or Our Friends, the Hayseeds?",The Broken Coin,The Broken Coin,True,direct,bridge_comparison,exact,0.001453,951
1d37a568088011ebbd6cac1f6bf848b6,Are director of film Red Dust (1999 Film) and director of film Kaadhal (1952 Film) from the same cou...,no,They are from different countries,False,direct,bridge_comparison,no_match,0.0013825,899
